Verb,NZZ_ID,Token_ID,Sentence,pattern,Stimulus_Type,Stimulus_PP,Comment,sem_class_subj,sem_class_PP_int,interpr_sem_class_PP_int,det_PP_int,Comment_PP
bezaubern,NZZ_1994_11_19_a135_seg10_s20,6,Er ist entwaffnend komisch und bezaubert durch seinen Geist .,X-STM_V,ambiguous,durch,,ambiguous,abstract_obj,property,det_coref_subj,
bezaubern,NZZ_1994_11_23_a110_seg3_s4,10,"Mit Komik der feinen , eleganten und lächelnden Art bezaubert er auch in seinem neuen , in Taipeh gedrehten Film mit dem lapidaren Titel « Eat Drink Man Woman » .",X-STM_V,anim,mit,,human,abstract_obj,property,,
bezaubern,NZZ_1995_06_15_a117_seg3_s14,4,"Barbara Bonneys Eurydike bezaubert mit wunderbar hellen und zugleich beseelten Soprantönen , und Elizabeth Futral macht deutlich , dass der Knabe Amor trotz seiner neckisch-schülerhaften Kostümierung und seinen graziösen Melodien musikalisch kein Leichtgewicht ist .",X-STM_V,anim,mit,,human,abstract_obj,event(action),,"(part of) piece of art, utterance"
bezaubern,NZZ_1995_06_24_a198_seg13_s38,16,"- In der Tat : statt Figuren auf dem Schachbrett des Fussbodens zu disponieren , bezaubert Correggio mit Flugfiguren in der unabsehbaren Höhe von Empyräen .",X-STM_V,anim,mit,"ambiguous, fragment",human,event(action),,,(part of) piece of art
bezaubern,NZZ_1995_11_10_a24_seg7_s17,2,"Sie bezaubert durch ihre grosszügig angelegten Gärten , etwa den Teich des « badenden Drachen » , der von « weiblichen » und « männlichen » Wasserfällen gespeist wird .",X-STM_V,ambiguous,durch,,ambiguous,"locative,concrete_obj",property,det_coref_subj,
bezaubern,NZZ_1996_01_09_a105_seg10_s1,9,"Ein Jahr später , 1980 , überrascht und bezaubert Eco die literarische Welt mit einem Roman , dessen geheimnisvoller Titel , « Der Name der Rose » , die Pforte ist zur fernen und doch bedrängend nahe rückenden Welt des späten Mittelalters .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,,,(part of) piece of art
bezaubern,NZZ_1996_01_27_a71_seg4_s8,2,Sie bezauberte ihr Publikum gleich mit Sommerkleidern aus Seide mit Dessins - ganzen Gemälden - von Papa .,X-STM_V_Y-EXP,anim,mit,,human,concrete_obj,,,(part of) piece of art
bezaubern,NZZ_1996_07_11_a118_seg4_s25,29,"Die Spezialität der « In Sides » -Köche sind nicht die Sounds , welche an Zeiten von Kraftwerk und vintage electronics ( analoge Geräte ) erinnern , vielmehr bezaubern sie durch das Raffinement , mit welchem sie einzelne Klangformen in intelligent zusammengestellten Loops vereinen und so ihrer Musik den typisch weichen und fliessenden Charakter verleihen .",X-STM_V,anim,durch,ambiguous,human,property,,,(part of) piece of art
bezaubern,NZZ_1997_03_01_a139_seg7_s4,29,"Zur Erleichterung des Lesers löst sich das Rätsel schliesslich : Vor fünfzehn Jahren traf der Autor einen elfjährigen Jungen , der den Mittdreissiger mit seiner Ehrlichkeit und Entschlossenheit bezauberte .",X-STM_V_Y-EXP,anim,mit,,human,property/property,,det_coref_subj,
bezaubern,NZZ_1997_12_04_a170_seg4_s16,15,"Während Dana Lynn Caruso durch ihre schüchterne Zurückhaltung und einen entzückenden Charme alle anwesenden bezaubert , macht Caroline O ' Connor mit Witz und Ironie auf sich aufmerksam .",X-STM_V_Y-EXP,anim,durch,,human,property/property,,det_coref_subj/,
bezaubern,NZZ_1997_12_13_a223_seg6_s16,2,"Sie bezaubert mit Noten von getrockneten Früchten , ist weich und schmeichelnd wie das Licht des Ozeans über der Charente .",X-STM_V,ambiguous,mit,,ambiguous,abstract_obj,property,,
bezaubern,NZZ_1998_02_13_a192_seg3_s20,32,"Der Film des in Algier geborenen und in Frankreich lebenden Tony Gatlif , Gewinner des Silbernen Leoparden am Festival von Locarno 1997 , hält sich bei ausführlichen Begründungen nicht auf , bezaubert aber durch seine schwebende Poesie , den balladenhaft improvisierenden Ton und eine Zigeunerfolklore , die nie klischiert anmutet .",X-STM_V,anim,durch,,human,property/abstract_obj/abstract_obj,property/property/property,det_coref_subj//,(part of) piece of art
bezaubern,NZZ_1998_06_13_a252_seg3_s22,10,Der wuchernde Schlingknöterich gehört zu den ausdauernden Lianen und bezaubert bis zum ersten Frost mit einer Fülle von weissen oder grünlichweissen Blüten .,X-STM_V,anim,mit,clearly_non_agentive,plant,concrete_obj,property,,
bezaubern,NZZ_1999_03_20_a272_seg3_s12,7,Dank ihrer Kleinwüchsigkeit und ungewohnten Blütenformen bezaubern sie den Gartenliebhaber .,X-STM_V_Y-EXP,anim,dank,clearly_non_agentive,plant,property/property,,det_coref_subj,
bezaubern,NZZ_1999_11_27_a212_seg3_s3,70,"Mit seiner Tierschar präsentiert Henry Gugelmann , Direktor des Zirkus Maus , der zurzeit im Einkaufszentrum Letzipark gastiert , ein vergnügliches Programm , in dem sich die Tiere offenbar wohl fühlen : Mit Handzeichen , Zureden und ab und zu einem kleinen Bissen Futter bewegt der diplomierte Tierpfleger Hunde , Katzen , Ratten , Enten , Hühner und ein Ferkel dazu , die Zuschauer mit ihrem tierischen Charme zu bezaubern .",X-STM_V_Y-EXP,anim,mit,"clearly_non_agentive, STM_coordination",animal,property,,det_coref_subj,
bezaubern,NZZ_1993_01_15_a64_seg3_s3,9,"Das von den vier begabten Loynaz-Geschwistern geführte Haus bezauberte mit seiner tropischen Opulenz und intellektuellen Verfeinerung keinen Geringeren als Federico García Lorca , der auf der Heimreise von seinem USA-Aufenthalt 1929/30 einige Zeit in Havanna verbrachte .",X-STM_V_Y-EXP,inanim,mit,,concrete_obj,property/event,property/property,det_coref_subj/,
bezaubern,NZZ_1993_04_26_a133_seg7_s25,2,"Schönenberg bezaubert den Golfer immer wieder mit eindrucksvollen Bildern einer einzigartigen Moränenlandschaft , Hittnau durch kühne Entwürfe des Architekten auf einem schwierigen Gelände und Ragaz durch den Parkcharakter seines Platzes .",X-STM_V_Y-EXP,inanim,mit,,locative,abstract_obj,property,,
bezaubern,NZZ_1993_07_29_a114_seg2_s17,15,"Stroh ist leicht , zäh , dauerhaft , schmiegsam , spannkräftig , und es bezaubert durch seinen goldenen Glanz .",X-STM_V,inanim,durch,,concrete_obj,property,,det_coref_subj,
bezaubern,NZZ_1993_08_14_a126_seg2_s139,23,"Es sind Steine , Blumen , Muscheln , Figuren , Erinnerungsbilder von Reisen , die ihre Sprache sprechen und mit ihren Formen bezaubern .",X-STM_V,inanim,mit,STM_coordination,"concrete_obj/concrete_obj/concrete_obj/abstract_obj,concrete_obj/abstract_obj,concrete_obj",property,,det_coref_subj,
bezaubern,NZZ_1993_12_27_a40_seg4_s7,5,Bei aller Düsternis jedoch bezaubert das Werk durch seine lyrische Sprache .,X-STM_V,inanim,durch,,abstract_obj,abstract_obj,property,det_coref_subj,(part of) piece of art
bezaubern,NZZ_1994_01_15_a106_seg3_s3,53,"Was wäre geschehen , wäre Kleopatras Nase kürzer gewesen ; hätte Napoleon bei Waterloo gewonnen ... Von solchen uchronischen Modellen geht Carrère aus , und schliesslich kommt ein ganz beachtlicher Essay zustande , der den Lesenden durch das Getriebe einer zeitüberhobenen Imagination schleust und ihn dabei gleichzeitig , ja : notwendig damit bezaubert , die Vergangenheit ganz anders zu denken , als sie « wirklich » gewesen ist .",X-STM_V_Y-EXP,inanim,mit,pronominal_adverb,abstract_obj,abstract_obj,property,,(part of) piece of art
bezaubern,NZZ_1994_05_17_a106_seg3_s17,4,Die frühen Collagen bezaubern durch ihre poetische Schwerelosigkeit .,X-STM_V,inanim,durch,,concrete_obj,property,,det_coref_subj,(part of) piece of art
bezaubern,NZZ_1994_08_12_a123_seg3_s10,28,"1969 hat Irina Poplawskaja nach Tschingis Aitmatows Erzählung einen Film von herber Schönheit und melancholischer Poesie gestaltet , einen Liebesgesang , der durch seine Reinheit und Unschuld bezaubert .",X-STM_V,inanim,durch,,abstract_obj,property/property,,det_coref_subj,(part of) piece of art
bezaubern,NZZ_1994_11_11_a168_seg3_s16,11,"Vor mehr als 30 Jahren von Olle Hellbom verfilmt , bezaubert Astrid Lindgrens Klassiker dank seiner Mischung aus Schabernack und kuriosen Zufällen auch heute noch .",X-STM_V,inanim,dank,,abstract_obj,property,,det_coref_subj,(part of) piece of art
bezaubern,NZZ_1995_07_03_a95_seg5_s1,32,"Der 28jährige Österreicher Franzobel hat den diesjährigen Klagenfurter Ingeborg-Bachmann-Wettbewerb für sich entschieden - mit einem Text , der als « Minimal Music » mit virtuosen spätdadaistischen Einsprengseln die Ohren der Jury bezauberte .",X-STM_V_Y-EXP,inanim,mit,EXP-related_object,abstract_obj,abstract_obj,property,,(part of) piece of art
bezaubern,NZZ_1996_03_09_a151_seg23_s3,2,"Bali bezauberte schon früh durch seine Kunst und einzigartige Kultur - eine Insel , die den Paradiesbegriff touristisch ausschlachtet .",X-STM_V,inanim,durch,,locative,abstract_obj/abstract_obj,,det_coref_subj,
bezaubern,NZZ_1996_05_25_a255_seg8_s9,4,"Die kindliche Phantasie bezaubert durch den Trick , Orte ständig neu zu definieren , Welten zu erschaffen und Kontinente voneinander abzugrenzen durch Zelte , Bauklötze oder Stühle .",X-STM_V,inanim,durch,,"abstract_obj,property",abstract_obj,property,,
bezaubern,NZZ_1996_07_18_a141_seg2_s12,4,Seit zweihundert Jahren bezaubern die Musikdosen mit feinen Klängen .,X-STM_V,inanim,mit,,concrete_obj,"abstract_obj,event",property,,
bezaubern,NZZ_1997_01_25_a31_seg3_s3,5,"Die autofreie Innenstadt Kurashikis bezaubert durch architektonische Kompaktheit , sorgsam gepflegte Gärten und Alleen , die sich Kanälen entlangziehen , in denen Enten , Schwäne und Karpfen prächtig gedeihen .",X-STM_V,inanim,durch,,"concrete_obj,locative",property/concrete_obj/concrete_obj,property/property/property,,
bezaubern,NZZ_1997_09_20_a229_seg3_s54,3,Die Dörfer bezaubern mit ihrem ländlichen Charme und dem « unverdorbenen » Charakter der Landschaft .,X-STM_V,inanim,mit,,locative,property/property,,det_coref_subj/,
bezaubern,NZZ_1997_11_20_a209_seg3_s9,6,Die Räume der oberen Etagen bezaubern zudem durch den Blick auf eine herrliche Landschaft .,X-STM_V,inanim,durch,,concrete_obj,abstract_obj,property,,
bezaubern,NZZ_1997_12_20_a50_seg10_s10,20,"Trotz den bunten spätbarocken Heiligenstatuen der Kirche , die ihn an die unzähligen Göttergestalten seiner heimatlichen Tempel erinnern , bezaubert ihn die Madonna in der düsteren Kapelle mit dem geheimnisvollen Lächeln ungleich stärker .",X-STM_V_Y-EXP,inanim,mit,ambiguous,concrete_obj,"abstract_obj,event",property,,(part of) piece of art
bezaubern,NZZ_1998_08_20_a224_seg7_s2,10,"Und imponieren in der Ajoie die Dimensionen , so bezaubern im Zugerland die nuancierten Farbtöne .",X-STM_V,inanim,in,,property,locative,,,
bezaubern,NZZ_1999_02_13_a260_seg3_s33,23,"Rund siebzig Arten sind in Cina heimisch , deren weisse bis rosafarbene Blüten vor allem auch durch ihren wohlriechenden , süssen Duft bezaubern .",X-STM_V_Y-EXP,inanim,durch,,concrete_obj,abstract_obj,property,det_coref_subj,
bezaubern,NZZ_1999_03_25_a255_seg8_s22,15,Noch ein Halt auf den Brissagoinseln der Botanische Garten auf der Isola Grande bezaubert durch eine einzigartige subtropische und exotische Vegetation .,X-STM_V,inanim,durch,,locative,property,,,
bezaubern,NZZ_1999_07_24_a210_seg2_s2,30,Im Garten indes wird das Wasser gezähmt und kann als kleinstes Becken oder als grosszügiger Teich eine ungewöhnliche Wirkung entfalten und den Betrachter im Jahresverlauf mit immer neuen Ansichten bezaubern .,X-STM_V_Y-EXP,inanim,mit,,material,abstract_obj,property,,
bezaubern,NZZ_1999_08_19_a208_seg3_s5,4,Das einfache Landgasthaus bezaubert mit seiner Einrichtung aus der Jahrhundertwende ( www.Whitman.ns .,X-STM_V_Y-EXP,inanim,mit,fragment,concrete_obj,concrete_obj,property,det_coref_subj,
bezaubern,NZZ_1999_09_11_a175_seg3_s2,6,"Es gibt Musikinstrumente , die bezaubern durch Schönheit , Perfektion , die Aura - und nicht zuletzt auch durch ihren Namen .",X-STM_V,inanim,durch,,concrete_obj,property/property/abstract_obj/abstract_obj,property/property/property,///det_coref_subj,
deprimieren,NZZ_1999_11_23_a184_seg3_s22,56,"Mit bösen Vorahnungen lud ich meine vorletztjährigen , klisterverklebten Fischer-RCS X2 Cold Fiber in den Kofferraum eines VW Saphan Kombi , der zwei anderen Nachbarn gehört , die soeben samt ihren fabrikneuen Atomic ATC mit Digital Flex und Ultra-Densolite-Kern nach Lappland abgeflogen sind , um ihre daheimgebliebenen Langlaufkollegen schon Ende November mit vierstelligen Schneekilometer-Zahlen zu deprimieren .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,property,,
einleuchten,NZZ_1999_01_07_a132_seg9_s3,14,"Es gibt kaum einen Anderen , der als Mensch so leuchtet , so einleuchtet .",X-STM_V,anim,als,,human,human,property,no_det,
einleuchten,NZZ_1994_02_04_a119_seg5_s5,23,"Die Rücksichtnahme auf ihre drei Kinder zwischen 11 und 18 Jahren und auf die beruflichen Verpflichtungen ihres im diplomatischen Dienst tätigen Mannes leuchtet als Grund für die Absage an den Parteipräsidenten ein , der sie gerne definitiv auf den Posten des Generalsekretärs gehievt hätte .",X-STM_V,inanim,als,,"abstract_obj,event(action)",abstract_obj,,no_det,
einleuchten,NZZ_1998_05_02_a249_seg11_s4,18,"Yillahs Verschwinden , das im Roman genausowenig geklärt werden wird , wie Taji sie lebend wiedersieht , leuchtet vor allem als Denkfigur ein , durch die Melville die eigentliche Konstellation dieser Reise in die Moderne schafft : mit der jungen Frau ist der Inbegriff vormoderner Unschuld in dem Augenblick vergangen und zum halluzinativen Ziel der Reise geworden , da im Kapitel « Ein unbekanntes Wesen » mit der Königin Hautia eine keineswegs unschuldige , sondern unheimliche und verführerische Frauenfigur im Roman auftaucht .",X-STM_V,inanim,als,,event,abstract_obj,,no_det,
einschüchtern,NZZ_1993_03_20_a161_seg2_s109,21,"Er habe in einem peripheren Stadtteil einen aus Togo getroffen und angesprochen , ihn jedoch mit seinen naseweisen Journalistenfragen nur eingeschüchtert .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,event(action),det_coref_subj,utterance
einschüchtern,NZZ_1993_04_02_a31_seg6_s2,17,Laut der Meinung vieler Konservativer führte Keating eine Kampagne der Angst und hat damit viele Wähler eingeschüchtert .,X-STM_V_Y-EXP,anim,mit,pronominal_adverb,human,event(action),,,
einschüchtern,NZZ_1993_07_03_a112_seg1_s9,15,"Als seine Komplizen , beide viel älter als Eddie , ins Haus zurückkehren , schüchtern sie Patricia durch brutale Gewaltakte ein und halten ihr Weinen auf Tonband fest .",X-STM_V_Y-EXP,anim,durch,,human,event(action),,,
einschüchtern,NZZ_1993_08_27_a96_seg3_s13,22,Der unermüdliche Kämpfer mit enormem Teamgeist weiss wie kein anderer die Mitspieler mitzureissen und die Gegner allein schon durch die Anwesenheit einzuschüchtern .,X-STM_V_Y-EXP,anim,durch,,human,property,,,
einschüchtern,NZZ_1994_02_12_a51_seg3_s2,68,"So berichtet die Wochenzeitung « Le Nouvel Economiste » in ihrer jüngsten Ausgabe , dass sich in den Reihen der französischen Banken die Meinung durchsetze , dem Schuldner und besonders dem amerikanischen Mutterhaus die Stirne zu bieten , nachdem die Walt Disney Corporation offenbar mit Erfolg versucht hatte , die Banken mit der Drohung , sie werde den verlustbringenden Park im Osten von Paris wieder schliessen , einzuschüchtern und zu einem Einlenken in den Umschuldungsverhandlungen zu bewegen .",X-STM_V_Y-EXP,anim_proxy,mit,EXP_anim_proxy,anim_proxy,"event(action),abstract_obj",event(action),,utterance
einschüchtern,NZZ_1994_03_18_a21_seg6_s5,42,"Das Abseitsstehen Russlands hat in der Nato nicht geringe Besorgnis hervorgerufen , zumal die Regierung in Moskau seit einigen Monaten zunehmend in schon überwunden geglaubtes Verhalten zurückgefallen ist , die wirtschaftlichen Reformbemühungen aufgegeben , die baltischen Staaten mit extrem rüden Tönen eingeschüchtert und die westliche Politik im Bosnien-Konflikt in aller Schärfe kritisiert hat .",X-STM_V_Y-EXP,anim_proxy,mit,EXP_anim_proxy,anim_proxy,abstract_obj,event(action),,
einschüchtern,NZZ_1994_06_24_a105_seg2_s2,8,"Wie üblich geworden , suchte man sie einzuschüchtern und zu verunsichern durch Anwürfe wie « kleinkariert » , « kulturlos » , dem « Mythos der Neutralität » verhaftet usw.",X-STM_V_Y-EXP,anim,durch,,human,"abstract_obj,event(action)",event(action),,utterance
einschüchtern,NZZ_1994_07_28_a26_seg10_s5,9,Deutsche Fernsehanstalten hätten durch falsche Berichterstattung die Touristen eingeschüchtert .,X-STM_V_Y-EXP,anim_proxy,durch,,anim_proxy,event(action),,no_det,utterance
einschüchtern,NZZ_1995_12_04_a18_seg2_s7,19,"Es lässt sich nun trefflich darüber spekulieren , ob und wie stark Peking mit seinem Säbelrasseln die Taiwaner eingeschüchtert und sie davon abgehalten hat , der DPP an die Macht zu verhelfen .",X-STM_V_Y-EXP,inanim,mit,"ambiguous,metonymic_STM","abstract_obj,locative",event(action),,det_coref_subj,
entmutigen,NZZ_1993_11_09_a85_seg4_s9,20,"Der Staatsrat steht vor der heiklen Aufgabe , keines der beiden Komitees durch die vorzeitige Definition einer Priorität zu entmutigen ; man wünscht sich den Erfolg der einen , aber schwerlich den beider Initiativen .",X-STM_V_Y-EXP,anim_proxy,durch,EXP_anim_proxy,anim_proxy,event(action),,,
entmutigen,NZZ_1997_05_15_a217_seg5_s56,27,"Das führt zur Kernfrage : Wenn doch jedweiliges Eingehen auf die Zeichnung unglückliche Auswirkungen veranlasst , soll man denn durch « verächtliche Gleichgültigkeit » das Kind entmutigen ?",X-STM_V_Y-EXP,anim,durch,,human,property,,,
entmutigen,NZZ_1998_04_03_a33_seg11_s15,13,"Durch kulturelle Modelle , die existieren und durch ihre Existenz ermutigen oder entmutigen und von den so Ermutigten bzw. Entmutigten bekräftigt werden .",X-STM_V,inanim,durch,,abstract_obj,property,,det_coref_subj,
entzücken,NZZ_1993_01_21_a67_seg2_s3,25,"Und wenn derjenige , der sie schreibt , Phantasie besitzt , kann er uns ebenso mit der minuziösen , photographisch getreuen Beschreibung imaginärer Landschaften entzücken wie mit der zwangsläufig weniger minuziösen Beschreibung der Landschaften , die er zu sehen glaubt . »",X-STM_V_Y-EXP,anim,mit,,human,"event(action),abstract_obj",,,"utterance, (part of) piece of art"
entzücken,NZZ_1993_02_16_a143_seg4_s12,30,"Diese Geschichte wäre an und für sich kaum erwähnenswert , würde es sich bei Roy nicht um einen hochtalentierten 23jährigen Internationalen handeln , der als genialer Dribbelkünstler die Massen entzückte .",X-STM_V_Y-EXP,anim,als,,human,human,property,no_det,
entzücken,NZZ_1993_05_28_a49_seg4_s1,29,"Jane Campion hat das Kino nicht neu erfunden , aber die junge Regisseurin - die in Cannes Publikum und Presse mit ihrer Natürlichkeit und ihrem augenfällig hochschwangeren Zustand entzückte - überflügelte mit der formalen und emotionalen Kraft ihres dritten Spielfilms - nach « Sweetie » und « An Angel at My Table » - mühelos Autoren von ungleich bedeutenderem Renommee oder Bekanntheitsgrad .",X-STM_V_Y-EXP,anim,mit,"EXP_coordination, EXP_anim_proxy",human,property/state,property/property,det_coref_subj/det_coref_subj,
entzücken,NZZ_1993_10_12_a88_seg8_s2,57,"Zwar ist der legendäre Roger Milla nur noch im Betreuerstab dabei , aber Torhüter Bell , die Halbbrüder Omam-Biyik und Kana-Biyik , Pagal und der in letzter Zeit häufig verletzte Captain Stephen Tataw sind fünf Spieler im derzeitigen Kader , die bereits 1990 in Italien dabeigewesen waren , als Kamerun die Fussballwelt mit dem frisch-fröhlichen Angriffsfussball entzückte .",X-STM_V_Y-EXP,anim_proxy,mit,EXP_anim_proxy,anim_proxy,event(action),,,
entzücken,NZZ_1995_01_30_a8_seg5_s2,22,"Mit dem Slogan « Kill the Boer , kill the farmer » ( töte den Buren , töte den Farmer ) entzückte er zwar seine Anhänger , nicht aber die oberste Führung seiner Organisation , die um ihren Ruf bei den Weissen fürchtete .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,,,utterance
entzücken,NZZ_1995_07_12_a144_seg6_s8,25,"Die Genugtuung über die Tatsache , der ATP- Nummer 55 der Welt die Stirn geboten und die Zuschauer mit gefühlvollen Stoppbällen und klugen Serve-and-volley-Angriffen entzückt zu haben , wurde für Mohr überschattet von der Gewissheit , eine wohl nicht mehr so schnell wiederkehrende Chance zu einem möglichen grossen Schritt nach vorne verpasst zu haben .",X-STM_V_Y-EXP,anim,mit,,human,event(action)/event(action),,,
entzücken,NZZ_1995_07_13_a105_seg3_s10,42,"Im vergangenen Jahr legte Foster , der die Kuppel zuvor stets aus politisch- philosophischen Gründen abgelehnt hatte , anlässlich einer Ausstellung in der Berliner Architekturgalerie Aedes ganz überraschend Dutzende von Kuppelvarianten vom « Leuchtturm » bis zur simplen Schale vor und entzückte damit den Ältestenrat des Bundestages ( NZZ Nr. 225 , 1994 ) .",X-STM_V_Y-EXP,anim,mit,"pronominal_adverb, EXP_anim_proxy",human,event(action),,,
entzücken,NZZ_1995_07_22_a192_seg4_s4,28,"Alle tragen Dächlikappen , Johann Hauser hat seine Mundharmonika dabei , mit der er zuerst die Mitreisenden nerven und später an der Vernissage in Köln das Publikum entzücken wird .",X-STM_V_Y-EXP,anim,mit,,human,concrete_obj,event(action),,
entzücken,NZZ_1995_08_30_a147_seg9_s6,12,"Als Kuhn , Martinelli oder Stürmer die Menge mit hinreissendem Fussball entzückt hatten , waren die Kids von heute noch nicht geboren .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,event(action),,
entzücken,NZZ_1995_12_09_a196_seg10_s8,16,"Ich habe so manche Geflügelhändlerin ausprobiert , und noch jede hat mich mit ihrer Fingerfertigkeit entzückt .",X-STM_V_Y-EXP,anim,mit,,human,property,,det_coref_subj,
entzücken,NZZ_1995_12_29_a138_seg7_s8,2,"Dahinter entzückte Della Bella auch die Nordamerikaner mit seinem Stickhandling und einer Ausstrahlung , die ihn in der nächsten Saison zum Stammgoalie in einem A-Klub machen müsste .",X-STM_V_Y-EXP,anim,mit,,human,event(action)/property,property/property,det_coref_subj/,
entzücken,NZZ_1997_03_26_a164_seg3_s11,3,"Doch damit entzückt er uns vollends ,  damit gibt er sich zu erkennen - als einer von uns .",X-STM_V_Y-EXP,anim,mit,pronominal_adverb,human,ambiguous,,,
entzücken,NZZ_1997_05_15_a189_seg3_s25,27,"Wenn etwas vermisst wurde , dann ein Spieler vom Kaliber Paul Kariyas , der vor einem Jahr mit Ideen , Speed und Technik die Wiener Zuschauer entzückt hatte .",X-STM_V_Y-EXP,anim,mit,,human,abstract_obj/property/property,property/property/property,,
entzücken,NZZ_1997_06_13_a172_seg3_s14,29,"Am Mittwoch abend genügten jedoch dem eleganten Dribbelkünstler mit dem markanten Habitus zehn Minuten , um ähnlich wie in der ersten Hälfte Zidane mit einem herrlichen Treffer zu entzücken .",X-STM_V,anim,mit,ambiguous,human,event,,,
entzücken,NZZ_1997_06_26_a187_seg5_s1,14,Mit einer angriffigen Fahrt hat Oscar Camenzind am Mittwoch die Fans am Strassenrand entzückt .,X-STM_V_Y-EXP,anim,mit,,human,event(action),,,
entzücken,NZZ_1998_03_16_a92_seg3_s8,33,"Die Premiere von Frank Capras « Arsen und Spitzenhäubchen » -Verfilmung , in deren charmanter Version die beiden alten Damen mit ihrer etwas eigenwilligen Auffassung von Sterbehilfe seit 1944 gross und klein entzücken , soll Kesselring kommentarlos verlassen haben .",X-STM_V_Y-EXP,anim,mit,idiomatic,human,abstract_obj,property,det_coref_subj,
entzücken,NZZ_1998_05_05_a31_seg10_s11,9,Die Duma-Mitglieder umwarb er mit nationalistischen Tönen und entzückte die Provinzgouverneure im Föderationsrat mit dem Versprechen höherer Steueranteile für die Regionen .,X-STM_V_Y-EXP,anim,mit,,human,abstract_obj,event(action),,utterance
entzücken,NZZ_1999_07_31_a72_seg1_s4,20,"Das Institut habe die Märkte fortlaufend mit seiner Art der Risikopolitik ( « high energy risk-taking culture » ) entzückt , sich laufend neu erfunden und dadurch permanent eine globale Führungsrolle eingenommen .",X-STM_V_Y-EXP,anim_proxy,mit,EXP_anim_proxy,anim_proxy,abstract_obj,event(action),det_coref_subj,
entzücken,NZZ_1999_08_31_a187_seg3_s8,38,"Erinnerungen werden wach an jene Zeiten in der zweiten Hälfte der achtziger Jahre , als Spieler wie Paulo César und Philippe Fargeon sowie später ein gewisser Youngster namens Türkyilmaz unter Trainer Pazmandy mit ihrem Angriffswirbel die Tifosi entzückten und 1986 rund 56 000 Zuschauer in den ersten fünf Heimpartien gezählt wurden .",X-STM_V_Y-EXP,anim,mit,STM_coordination,human,event(action),,det_coref_subj,
entzücken,NZZ_1999_09_08_a204_seg3_s31,20,"Der 21jährige Deutsche , der zuvor gegen den Marokkaner Arazi die amerikanischen TV-Stationen mit einem Schlag durch die Beine entzückt hatte , beklagte gewisse Probleme an der Hüfte .",X-STM_V,anim,mit,EXP_anim_proxy,human,event(action),,,
entzücken,NZZ_1993_05_22_a153_seg2_s21,5,"Die Grotti von Cama entzücken durch ihren Formenreichtum und durch die Stimmigkeit , mit der sie sich dem Terrain anpassen , so dass man immer wieder bewundern muss , wie Natur- und Menschenwerk zur Einheit verschmelzen .",X-STM_V,inanim,durch,,concrete_obj,property+property,,det_coref_subj+,
entzücken,NZZ_1995_03_09_a188_seg5_s3,4,"Beim Weiler Beredino entzückt der schöne Platz,  zwei winkelförmig angelegte Palazzi mit Säulenloggien umrahmen ihn .",X-STM_V,inanim,bei,,locative,locative,,,
entzücken,NZZ_1995_08_24_a184_seg5_s4,20,"Auch die kleidsame Volkstracht , die mit Spitzenhäubchen und -ärmel , schwarzem Samtrock und Mieder die Provence-Fahrer der Romantik entzückte , mag zu diesem Ruf beigetragen haben .",X-STM_V_Y-EXP,inanim,mit,,concrete_obj,concrete_obj/concrete_obj/concrete_obj/concrete_obj,property/property/property/property,no_det,
entzücken,NZZ_1998_06_10_a156_seg3_s9,52,"Und so schickten sich nun am Dienstag nachmittag vier mit sichernden Seilen in der « Wand » hängende Gärtner an , mit Motorheckenschere und Sense das wild wuchernde Grün in so etwas wie ein Green zu verwandeln , das in seiner Gepflegtheit jeden Golfer mit einem Flair für ein ausgefallenes Handicap entzücken müsste .",X-STM_V_Y-EXP,inanim,"in,mit",ambiguous,concrete_obj,property+abstract_obj,property+property,det_coref_subj+,
entzücken,NZZ_1998_10_08_a204_seg4_s37,19,"Während Rhodos mit höchst eindrucksvollen historischen Gebäuden , einschliesslich Moscheen und Bädern aus der Türkenzeit , aufwartet , entzückt Marmaris durch den idyllischen Rahmen seiner Bucht .",X-STM_V,inanim,durch,,locative,concrete_obj,property,,
entzücken,NZZ_1998_10_31_a247_seg5_s9,2,Es entzücken die Kulleraugen-Scheinwerfer und die bulligen Räder am niedriggelegten Gefährt .,X-STM_V,inanim,an,"non-phoric_es, STM_coordination, ambiguous",concrete_obj/concrete_obj,concrete_obj,,,
erfreuen,NZZ_1994_01_29_a114_seg5_s7,3,Pino Lancetti erfreute die Zuschauer mit einem Feuerwerk von herrlichen bunten Stoffen .,X-STM_V_Y-EXP,anim,mit,,human,"abstract_obj,event",event(action),,
erfreuen,NZZ_1995_10_03_a136_seg4_s10,36,"Auf die Blauglockenbäume kann man sich freuen : Da sie spät ausschlagen und beim ersten Frost die Blätter fallen lassen , werden sie in der lichtarmen Jahreszeit viel Sonne durchlassen , im April und Mai erfreuen sie mit einem schönen Blütenschmuck , und im Sommer werfen die grossblättrigen , breitkronigen Bäume dichte Schatten .",X-STM_V,anim,mit,clearly_non_agentive,plant,concrete_obj,property,,
